method,time,total_time,seed,p,n
CSlearn+PC,381.3689252330223,4842.129824787029,10,500,1001
CSlearn+GRaSP,1.3752245220020995,4.835713843003759,1,10,1001
CSlearn+GRaSP,0.7859368669960531,3.4690444099978777,2,10,1001
CSlearn+GRaSP,1.2517437919998429,4.619027982999796,3,10,1001
CSlearn+GRaSP,1.5744919929993555,7.0867785629993705,4,10,1001
CSlearn+GRaSP,1.5070257819998003,5.973752780999803,5,10,1001
CSlearn+GRaSP,1.314870737000092,6.7026772220001485,6,10,1001
CSlearn+GRaSP,2.1751237180001226,11.762967432000094,7,10,1001
CSlearn+GRaSP,2.0809100690003106,4.642905659000462,8,10,1001
CSlearn+GRaSP,2.411404624,4.270631976000004,9,10,1001
CSlearn+GRaSP,2.1343083739993745,7.085500077002507,10,10,1001
CSlearn+GRaSP,3.8372345720054,89.54470442000456,1,25,1001
CSlearn+GRaSP,4.446889847997227,50.12836589299695,2,25,1001
CSlearn+GRaSP,5.174711089999619,100.5766009069996,3,25,1001
CSlearn+GRaSP,4.179485429000124,78.63614569000015,4,25,1001
CSlearn+GRaSP,4.509672843999397,107.26259970799948,5,25,1001
CSlearn+GRaSP,4.524928681000347,110.68742078500054,6,25,1001
CSlearn+GRaSP,4.26601026399976,134.1148387839994,7,25,1001
CSlearn+GRaSP,10.233996580000166,51.17449496200015,8,25,1001
CSlearn+GRaSP,4.722587569000098,46.73134677200005,9,25,1001
CSlearn+GRaSP,5.050156268000137,58.37290411000004,10,25,1001
CSlearn+GRaSP,10.74817763199826,368.7932828399971,1,50,1001
CSlearn+GRaSP,9.490649752005991,244.4566279800056,2,50,1001
CSlearn+GRaSP,4.001905666999846,317.84141457199985,3,50,1001
CSlearn+GRaSP,14.5457511229979,569.1002641029991,4,50,1001
CSlearn+GRaSP,10.22659258199974,518.1327942559997,5,50,1001
CSlearn+GRaSP,11.1754484209996,602.8439521379996,6,50,1001
