method,kl_div,seed,p,n
cslearn+grasp (mle),0.010256110350166,4,15,10000
cslearn+grasp (mle),0.0161663885248876,5,15,10000
cslearn+grasp (mle),0.0063235861555854,6,15,10000
cslearn+grasp (mle),0.0093113598656498,7,15,10000
cslearn+grasp (mle),0.0112617373599367,8,15,10000
cslearn+grasp (mle),0.0159957404262359,9,15,10000
cslearn+grasp (mle),0.0073112295085525,10,15,10000
cslearn+grasp (mle),0.2083946654272201,1,20,1000
cslearn+grasp (mle),0.1621995302933958,2,20,1000
cslearn+grasp (mle),0.1911491299609398,3,20,1000
cslearn+grasp (mle),0.2617829691421349,4,20,1000
cslearn+grasp (mle),0.1549509617609454,5,20,1000
cslearn+grasp (mle),0.0865922486195878,6,20,1000
cslearn+grasp (mle),0.0688682069133343,7,20,1000
cslearn+grasp (mle),0.2787171167130954,8,20,1000
cslearn+grasp (mle),0.0927875022900246,9,20,1000
cslearn+grasp (mle),0.1384769287394113,10,20,1000
cslearn+grasp (mle),0.018859757607976,1,20,10000
cslearn+grasp (mle),0.0384209949872869,2,20,10000
cslearn+grasp (mle),0.0118754180232125,3,20,10000
cslearn+grasp (mle),0.0083903921373787,4,20,10000
cslearn+grasp (mle),0.0123212128916033,5,20,10000
cslearn+grasp (mle),0.0075238201583941,6,20,10000
cslearn+grasp (mle),0.0113306485714288,7,20,10000
cslearn+grasp (mle),0.0136662773604826,8,20,10000
cslearn+grasp (mle),0.0137554852076735,9,20,10000
cslearn+grasp (mle),0.0723996778894881,10,20,10000
bos (mle),0.0487779744518579,1,5,1000
bos (mle),0.0106579412310152,2,5,1000
bos (mle),0.0281267147071776,3,5,1000
bos (mle),0.0151312407091304,4,5,1000
bos (mle),0.0126176246637293,5,5,1000
bos (mle),0.0184419816485732,6,5,1000
bos (mle),0.0117262336438134,7,5,1000
bos (mle),0.0451867616963673,8,5,1000
bos (mle),0.0183113844672122,9,5,1000
bos (mle),0.0230116656946933,10,5,1000
bos (mle),0.0679887847637632,1,7,1000
bos (mle),0.1154951922542367,2,7,1000
bos (mle),0.1037706436495364,3,7,1000
bos (mle),0.0772079370801204,4,7,1000
bos (mle),0.1253100543096167,5,7,1000
bos (mle),0.0670108043442855,6,7,1000
bos (mle),0.0545890664843993,7,7,1000
bos (mle),0.0737219909828638,8,7,1000
bos (mle),0.0296700783356956,9,7,1000
bos (mle),0.0682399528347078,10,7,1000
bos (mle),0.4019185023554826,1,10,1000
bos (mle),0.3907283051725061,2,10,1000
bos (mle),0.6166743089940387,3,10,1000
bos (mle),0.3854563177735807,4,10,1000
bos (mle),0.2786535051377573,5,10,1000
bos (mle),0.3977039986381192,6,10,1000
bos (mle),0.4590693510435299,7,10,1000
bos (mle),0.2810114814071992,8,10,1000
bos (mle),0.2258371121656103,9,10,1000
bos (mle),0.4075497355768893,10,10,1000
bhc (mle),0.3680017361473193,1,5,1000
bhc (mle),0.0519597651308206,2,5,1000
bhc (mle),0.2430271157690498,3,5,1000
bhc (mle),0.1012998284263277,4,5,1000
bhc (mle),0.0032545775734216,5,5,1000
bhc (mle),0.0640401412902754,6,5,1000
bhc (mle),0.0612044578135014,7,5,1000
bhc (mle),0.0154020024215299,8,5,1000
bhc (mle),0.0153132646818189,9,5,1000
bhc (mle),0.324346187830661,10,5,1000
bhc (mle),0.0861224011079125,1,5,10000
bhc (mle),0.0466544230754204,2,5,10000
bhc (mle),0.0020819762639616,3,5,10000
bhc (mle),0.0003766368642162,4,5,10000
bhc (mle),0.0002759043072182,5,5,10000
bhc (mle),0.0603679655476372,6,5,10000
bhc (mle),0.0605918709284482,7,5,10000
bhc (mle),0.0102684612713687,8,5,10000
bhc (mle),0.0003866179170731,9,5,10000
bhc (mle),0.3174278367019156,10,5,10000
bhc (mle),0.5508371277417836,1,7,1000
bhc (mle),0.4039370128218865,2,7,1000
bhc (mle),0.0762218143635401,3,7,1000
bhc (mle),0.3494085995984415,4,7,1000
bhc (mle),0.4916135873116448,5,7,1000
bhc (mle),0.2985014693112218,6,7,1000
bhc (mle),0.0326484267792123,7,7,1000
bhc (mle),0.1817669252029458,8,7,1000
bhc (mle),0.1866939967210535,9,7,1000
bhc (mle),0.0208885738830271,10,7,1000
bhc (mle),0.5078755665728096,1,7,10000
bhc (mle),0.0027314474837222,2,7,10000
bhc (mle),0.0058667999436743,3,7,10000
bhc (mle),0.0053816301890462,4,7,10000
bhc (mle),0.0021045687685726,5,7,10000
bhc (mle),0.0034304042338023,6,7,10000
bhc (mle),0.0012950302625122,7,7,10000
bhc (mle),0.1750787980146258,8,7,10000
bhc (mle),0.0014176736911483,9,7,10000
bhc (mle),0.0048611989132986,10,7,10000
bhc (mle),0.8507428522091721,1,10,1000
bhc (mle),0.5498792154983698,2,10,1000
bhc (mle),0.0893648092928677,3,10,1000
bhc (mle),0.1308358082635682,4,10,1000
bhc (mle),0.0526533695496177,5,10,1000
bhc (mle),0.826370165476932,6,10,1000
bhc (mle),0.0487923684920169,7,10,1000
bhc (mle),0.7948986107848196,8,10,1000
bhc (mle),0.4336987163543597,9,10,1000
bhc (mle),0.0828563249647584,10,10,1000
bhc (mle),0.0027871704708441,1,10,10000
bhc (mle),0.0089570292426641,2,10,10000
bhc (mle),0.0090596363069776,3,10,10000
bhc (mle),0.0049203364569862,4,10,10000
bhc (mle),0.0124368404230536,5,10,10000
bhc (mle),0.0051042010424936,6,10,10000
bhc (mle),0.0034576591384819,7,10,10000
bhc (mle),0.0047673682566913,8,10,10000
bhc (mle),0.1118326412616698,9,10,10000
bhc (mle),0.0035819266168681,10,10,10000
bhc (mle),0.1180832573679045,1,15,1000
bhc (mle),1.0324945609020657,2,15,1000
bhc (mle),0.5544487223887715,3,15,1000
bhc (mle),0.3507996014644688,4,15,1000
bhc (mle),0.0584432010272814,5,15,1000
bhc (mle),1.3197783763674424,6,15,1000
bhc (mle),0.0982194528833843,7,15,1000
bhc (mle),0.1759104166243543,8,15,1000
bhc (mle),0.1981747792012567,9,15,1000
bhc (mle),0.0650652661310411,10,15,1000
