method,time,total_time,seed,p,n
CSlearn+GRaSP,77.12260100396816,3.2494360599666834,2,20,1001
CSlearn+GRaSP,75.05338101100642,2.1630393189843744,3,20,1001
CSlearn+GRaSP,49.41644963400904,2.9965584730089176,4,20,1001
CSlearn+GRaSP,16.065377603983507,9.320383723010307,5,20,1001
CSlearn+GRaSP,28.30089189800492,2.319350156991277,6,20,1001
CSlearn+GRaSP,55.46759704200667,2.349308521981584,7,20,1001
CSlearn+GRaSP,32.47230288799619,3.3803442909847945,8,20,1001
CSlearn+GRaSP,18.599612538993824,2.309033022989752,9,20,1001
CSlearn+GRaSP,33.51806513100746,2.595394584990572,10,20,1001
bos,1.79786205291748,1.79786205291748,1,5,250
bos,1.15094876289368,1.15094876289368,2,5,250
bos,1.22610187530518,1.22610187530518,3,5,250
bos,0.966657400131226,0.966657400131226,4,5,250
bos,1.61703300476074,1.61703300476074,5,5,250
bos,1.22851133346558,1.22851133346558,6,5,250
bos,1.03754067420959,1.03754067420959,7,5,250
bos,1.47490453720093,1.47490453720093,8,5,250
bos,0.741613626480103,0.741613626480103,9,5,250
bos,1.01723504066467,1.01723504066467,10,5,250
bos,0.876201391220093,0.876201391220093,1,5,1000
bos,1.9194188117981,1.9194188117981,2,5,1000
bos,1.60766625404358,1.60766625404358,3,5,1000
bos,1.68168902397156,1.68168902397156,4,5,1000
bos,1.42972040176392,1.42972040176392,5,5,1000
bos,2.28445816040039,2.28445816040039,6,5,1000
bos,1.44408249855042,1.44408249855042,7,5,1000
bos,1.16123104095459,1.16123104095459,8,5,1000
bos,1.00373387336731,1.00373387336731,9,5,1000
bos,1.51711368560791,1.51711368560791,10,5,1000
bos,1.01798857450485,1.01798857450485,1,7,250
bos,47.6884000301361,47.6884000301361,2,7,250
bos,1.202077404658,1.202077404658,3,7,250
bos,1.14712990522385,1.14712990522385,4,7,250
bos,59.2389674186707,59.2389674186707,5,7,250
bos,44.370386838913,44.370386838913,6,7,250
bos,1.18625988960266,1.18625988960266,7,7,250
bos,41.0095150470734,41.0095150470734,8,7,250
bos,37.1178719997406,37.1178719997406,9,7,250
bos,52.9114694595337,52.9114694595337,10,7,250
bos,1.01036084890366,1.01036084890366,1,7,1000
bos,1.56795401970545,1.56795401970545,2,7,1000
bos,1.98724546432495,1.98724546432495,3,7,1000
bos,1.4454959432284,1.4454959432284,4,7,1000
bos,2.0131422162056,2.0131422162056,5,7,1000
bos,1.59992076158524,1.59992076158524,6,7,1000
bos,1.59825567007065,1.59825567007065,7,7,1000
bos,1.22965715726217,1.22965715726217,8,7,1000
bos,44.4541356563568,44.4541356563568,9,7,1000
bos,1.63374330997467,1.63374330997467,10,7,1000
bos,1.36589556157589,1.36589556157589,1,10,250
bos,1.10351916664177,1.10351916664177,2,10,250
bos,3.7379223750035,3.7379223750035,3,10,250
bos,1.3262869844834,1.3262869844834,4,10,250
bos,47.6377121011416,47.6377121011416,5,10,250
bos,1.28550365302298,1.28550365302298,6,10,250
bos,1.75865092880196,1.75865092880196,7,10,250
bos,1.04246173335446,1.04246173335446,8,10,250
bos,27.3955818096797,27.3955818096797,9,10,250
bos,1.33230278392633,1.33230278392633,10,10,250
bos,3.34736624962754,3.34736624962754,1,10,1000
bos,11.3893094277382,11.3893094277382,2,10,1000
bos,8.54835054735343,8.54835054735343,3,10,1000
bos,4.22701045811176,4.22701045811176,4,10,1000
bos,3.04657299783495,3.04657299783495,5,10,1000
bos,4.8116090416246,4.8116090416246,6,10,1000
bos,5.59998401608732,5.59998401608732,7,10,1000
bos,2.40015496585104,2.40015496585104,8,10,1000
