method,time,total_time,seed,p,n
CSlearn+GRaSP,1.3686389779999786,1.7226499169999556,6,5,251
CSlearn+GRaSP,1.0305795359990952,1.1755322689987224,7,5,251
CSlearn+GRaSP,1.980960623999863,2.113242212994237,8,5,251
CSlearn+GRaSP,0.6821486959997856,0.8047745009998266,9,5,251
CSlearn+GRaSP,1.1372219199984102,1.7572490329985158,10,5,251
CSlearn+GRaSP,0.2309066289963084,0.3768751029929262,1,5,1001
CSlearn+GRaSP,0.5518189030044596,0.9171006540054804,2,5,1001
CSlearn+GRaSP,1.616974597999615,1.927765903999898,3,5,1001
CSlearn+GRaSP,0.9714496830001736,1.1978576800001974,4,5,1001
CSlearn+GRaSP,0.7197071159998814,1.2261389119998969,5,5,1001
CSlearn+GRaSP,1.299388270999998,1.691083833999997,6,5,1001
CSlearn+GRaSP,1.6011409709999498,1.7643021980002231,7,5,1001
CSlearn+GRaSP,1.241010796999035,1.3725937569979578,8,5,1001
CSlearn+GRaSP,1.3977337020005507,1.695422313000563,9,5,1001
CSlearn+GRaSP,0.7393902679998519,1.3873353859999042,10,5,1001
CSlearn+GRaSP,1.5742151329977787,2.2760246459984046,1,7,251
CSlearn+GRaSP,1.1591851999983191,1.804387151998526,2,7,251
CSlearn+GRaSP,1.3143858939993152,1.8523947789994963,3,7,251
CSlearn+GRaSP,1.9599939320000883,2.724776800000086,4,7,251
CSlearn+GRaSP,1.1130811059999814,2.188093280999965,5,7,251
CSlearn+GRaSP,4.251017129000047,5.348370961003184,6,7,251
CSlearn+GRaSP,1.868849825000325,3.367572012000437,7,7,251
CSlearn+GRaSP,1.7648501869998654,2.6814977949998138,8,7,251
CSlearn+GRaSP,1.7260288979996403,2.442437467999639,9,7,251
CSlearn+GRaSP,1.6035970180000731,2.63720724500007,10,7,251
CSlearn+GRaSP,1.257015921000857,2.903456706000725,1,7,1001
CSlearn+GRaSP,1.5730860640032915,2.5274387120043684,2,7,1001
CSlearn+GRaSP,0.908118666000064,1.8840942430001637,3,7,1001
CSlearn+GRaSP,1.3843013770001562,3.074413636000145,4,7,1001
CSlearn+GRaSP,0.8743808079998416,2.0011107749999155,5,7,1001
CSlearn+GRaSP,1.905551731000287,3.623414021000372,6,7,1001
CSlearn+GRaSP,1.5832254699998884,6.699453876999996,7,7,1001
CSlearn+GRaSP,1.4311259829999583,2.1959462429999803,8,7,1001
CSlearn+GRaSP,1.9054816890002253,3.158792395000092,9,7,1001
CSlearn+GRaSP,1.99090198399972,3.7200827459996617,10,7,1001
CSlearn+GRaSP,1.862087043002248,5.23991396400379,1,10,251
CSlearn+GRaSP,1.308147203002591,2.884008768003696,2,10,251
CSlearn+GRaSP,1.1465735919999815,2.6395946709970985,3,10,251
CSlearn+GRaSP,1.216866427000241,3.400704025000323,4,10,251
CSlearn+GRaSP,2.661142753000149,6.287397903000169,5,10,251
CSlearn+GRaSP,1.498247300999992,3.8111429159999934,6,10,251
CSlearn+GRaSP,2.222505009000088,5.254742504000205,7,10,251
CSlearn+GRaSP,1.1090023470000006,5.445693052000024,8,10,251
CSlearn+GRaSP,2.199533546998282,4.296301223999762,9,10,251
CSlearn+GRaSP,2.111043822999818,4.025494300999981,10,10,251
CSlearn+GRaSP,1.3752245220020995,4.835713843003759,1,10,1001
CSlearn+GRaSP,0.7859368669960531,3.4690444099978777,2,10,1001
CSlearn+GRaSP,1.2517437919998429,4.619027982999796,3,10,1001
CSlearn+GRaSP,1.5744919929993555,7.0867785629993705,4,10,1001
CSlearn+GRaSP,1.5070257819998003,5.973752780999803,5,10,1001
CSlearn+GRaSP,1.314870737000092,6.7026772220001485,6,10,1001
CSlearn+GRaSP,2.1751237180001226,11.762967432000094,7,10,1001
CSlearn+GRaSP,2.0809100690003106,4.642905659000462,8,10,1001
CSlearn+GRaSP,2.411404624,4.270631976000004,9,10,1001
CSlearn+GRaSP,2.1343083739993745,7.085500077002507,10,10,1001
CSlearn+GRaSP,1.8843002770008752,9.7560001080019,1,15,251
CSlearn+GRaSP,1.9131720880031933,5.623044949003088,2,15,251
CSlearn+GRaSP,2.165405964999991,5.979184072003591,3,15,251
CSlearn+GRaSP,2.653168115000028,7.106575532000022,4,15,251
CSlearn+GRaSP,3.162040751000177,9.178399308000053,5,15,251
CSlearn+GRaSP,2.93338114900007,11.406575041998169,6,15,251
CSlearn+GRaSP,2.687722381000185,9.412773511000182,7,15,251
CSlearn+GRaSP,2.4013670630010893,5.164220575999934,8,15,251
CSlearn+GRaSP,1.2658735380000508,7.758949070000199,9,15,251
CSlearn+GRaSP,1.8506319369998887,4.238845054999729,10,15,251
CSlearn+GRaSP,1.8666878580042976,18.55178767700272,1,15,1001
CSlearn+GRaSP,2.8412257119998685,15.7256044809983,2,15,1001
CSlearn+GRaSP,1.9032789470002167,15.646207355000117,3,15,1001
CSlearn+GRaSP,2.906690181000158,31.566738045000424,4,15,1001
CSlearn+GRaSP,5.688623470000039,29.090688909000164,5,15,1001
CSlearn+GRaSP,2.182038172999455,24.9901261809996,6,15,1001
CSlearn+GRaSP,3.119180468999957,22.42899369099655,7,15,1001
CSlearn+GRaSP,2.704209391999939,14.359476829003142,8,15,1001
CSlearn+GRaSP,2.4647061949999625,14.379013421999842,9,15,1001
CSlearn+GRaSP,0.831228793000264,8.619689422000192,10,15,1001
CSlearn+GRaSP,2.4109447009977885,9.785009965999052,1,20,251
CSlearn+GRaSP,2.0615257220342755,6.667123299033847,2,20,251
CSlearn+GRaSP,2.043403109011706,9.414902443008032,3,20,251
CSlearn+GRaSP,2.158686738985125,13.859870448999573,4,20,251
CSlearn+GRaSP,2.206686277000699,9.367619276978076,5,20,251
CSlearn+GRaSP,2.144496318011079,10.206997380999384,6,20,251
CSlearn+GRaSP,1.9808598259696737,9.915270252968185,7,20,251
CSlearn+GRaSP,2.0824965829961,8.794620749016758,8,20,251
CSlearn+GRaSP,2.113966475008056,7.564752147998661,9,20,251
CSlearn+GRaSP,2.2080461690202355,15.46450152702164,10,20,251
CSlearn+GRaSP,2.15257147300872,39.48493462402257,1,20,1001
CSlearn+GRaSP,3.2494360599666834,80.37203706393484,2,20,1001
CSlearn+GRaSP,2.1630393189843744,77.2164203299908,3,20,1001
CSlearn+GRaSP,2.9965584730089176,52.41300810701796,4,20,1001
CSlearn+GRaSP,9.320383723010307,25.385761326993816,5,20,1001
CSlearn+GRaSP,2.319350156991277,30.6202420549962,6,20,1001
CSlearn+GRaSP,2.349308521981584,57.81690556398826,7,20,1001
CSlearn+GRaSP,3.3803442909847945,35.85264717898099,8,20,1001
CSlearn+GRaSP,2.309033022989752,20.908645561983576,9,20,1001
CSlearn+GRaSP,2.595394584990572,36.11345971599803,10,20,1001
bos,0.328203201293945,0.328203201293945,1,5,250
bos,1.15094876289368,1.15094876289368,2,5,250
bos,1.22610187530518,1.22610187530518,3,5,250
bos,0.966657400131226,0.966657400131226,4,5,250
bos,1.61703300476074,1.61703300476074,5,5,250
bos,1.22851133346558,1.22851133346558,6,5,250
bos,1.03754067420959,1.03754067420959,7,5,250
bos,1.47490453720093,1.47490453720093,8,5,250
bos,0.741613626480103,0.741613626480103,9,5,250
bos,1.01723504066467,1.01723504066467,10,5,250
bos,0.714021444320679,0.714021444320679,1,5,1000
bos,1.9194188117981,1.9194188117981,2,5,1000
bos,1.60766625404358,1.60766625404358,3,5,1000
bos,1.68168902397156,1.68168902397156,4,5,1000
bos,1.42972040176392,1.42972040176392,5,5,1000
bos,2.28445816040039,2.28445816040039,6,5,1000
bos,1.44408249855042,1.44408249855042,7,5,1000
bos,1.16123104095459,1.16123104095459,8,5,1000
bos,1.00373387336731,1.00373387336731,9,5,1000
bos,1.51711368560791,1.51711368560791,10,5,1000
bos,1.01798857450485,1.01798857450485,1,7,250
bos,47.6884000301361,47.6884000301361,2,7,250
bos,1.202077404658,1.202077404658,3,7,250
bos,1.14712990522385,1.14712990522385,4,7,250
bos,59.2389674186707,59.2389674186707,5,7,250
bos,44.370386838913,44.370386838913,6,7,250
bos,1.18625988960266,1.18625988960266,7,7,250
bos,41.0095150470734,41.0095150470734,8,7,250
bos,37.1178719997406,37.1178719997406,9,7,250
bos,52.9114694595337,52.9114694595337,10,7,250
bos,1.01036084890366,1.01036084890366,1,7,1000
bos,1.56795401970545,1.56795401970545,2,7,1000
bos,1.98724546432495,1.98724546432495,3,7,1000
bos,1.4454959432284,1.4454959432284,4,7,1000
bos,2.0131422162056,2.0131422162056,5,7,1000
bos,1.59992076158524,1.59992076158524,6,7,1000
bos,1.59825567007065,1.59825567007065,7,7,1000
bos,1.22965715726217,1.22965715726217,8,7,1000
bos,44.4541356563568,44.4541356563568,9,7,1000
bos,1.63374330997467,1.63374330997467,10,7,1000
bhc,0.0213959217071533,0.0779520657079047,1,5,250
bhc,0.089808464050293,0.2991391530486,2,5,250
bhc,0.0764503479003906,0.455063168900438,3,5,250
bhc,0.101351499557495,0.437014961556997,4,5,250
bhc,0.0978431701660156,0.409001654165877,5,5,250
bhc,0.0977954864501953,0.566142717456387,6,5,250
bhc,0.095844030380249,0.240048429380295,7,5,250
bhc,0.0746383666992188,0.244001720699259,8,5,250
bhc,0.0880751609802246,0.26096109898026,9,5,250
bhc,0.0990047454833984,0.710568548483252,10,5,250
bhc,0.0218064785003662,0.09162725549686,1,5,1000
bhc,0.0797910690307617,0.412565547030681,2,5,1000
bhc,0.0996382236480713,0.415185154648043,3,5,1000
bhc,0.0913076400756836,0.341557684075269,4,5,1000
bhc,0.0875349044799805,0.425589531478181,5,5,1000
bhc,0.124462604522705,0.778708841522757,6,5,1000
bhc,0.0894103050231934,0.550624166023226,7,5,1000
bhc,0.104326486587524,0.261261365587416,8,5,1000
bhc,0.0923984050750732,0.254297909075149,9,5,1000
bhc,0.0884819030761719,0.919492421076029,10,5,1000
bhc,0.0831520557403564,0.697129902739107,1,7,250
bhc,0.0866732597351074,0.72336855773392,2,7,250
bhc,0.0964417457580566,0.750256620757682,3,7,250
bhc,0.116460561752319,0.902145149753778,4,7,250
bhc,0.0916049480438232,0.940854833043659,5,7,250
bhc,0.165616989135742,1.50110861113353,6,7,250
bhc,0.0924434661865234,1.1999822371863,7,7,250
bhc,0.127079963684082,0.535934605683906,8,7,250
bhc,0.190570116043091,1.41973501904317,9,7,250
bhc,0.105022192001343,2.08785714600128,10,7,250
bhc,0.203034162521362,1.22989236452486,1,7,1000
bhc,0.100831508636475,1.02239063363595,2,7,1000
bhc,0.109158277511597,1.42738988251165,3,7,1000
bhc,0.124375104904175,1.93460447390407,4,7,1000
bhc,0.102552175521851,1.38862793052203,5,7,1000
bhc,0.10493803024292,2.38808877224074,6,7,1000
bhc,0.19805121421814,3.01572859722364,7,7,1000
bhc,0.21770715713501,1.0639789061388,8,7,1000
bhc,0.0999274253845215,1.31718345438458,9,7,1000
bhc,0.078303337097168,1.48283182809723,10,7,1000
bhc,0.12968897819519,2.47152000819551,1,10,250
bhc,0.11608362197876,1.46251924697935,2,10,250
bhc,0.188080549240112,1.69639559323696,3,10,250
bhc,0.209795713424683,3.14347357142469,4,10,250
bhc,0.12881875038147,2.9060094813758,5,10,250
bhc,0.12458324432373,1.85860469632371,6,10,250
bhc,0.143712759017944,3.08420855901841,7,10,250
bhc,0.171390295028687,1.84707684902241,8,10,250
bhc,0.185974597930908,1.44206416492671,9,10,250
bhc,0.145528316497803,1.89626303649766,10,10,250
bhc,0.17616081237793,2.76628668637568,1,10,1000
bhc,0.179014205932617,3.11144485093246,2,10,1000
bhc,0.175452709197998,3.51286138719797,3,10,1000
bhc,0.177819967269897,6.21915349326991,4,10,1000
bhc,0.209452867507935,6.70782842650783,5,10,1000
bhc,0.35394024848938,5.67128803448938,6,10,1000
bhc,0.155916213989258,9.51053606998903,7,10,1000
bhc,0.155728578567505,1.95698863156758,8,10,1000
bhc,0.180171728134155,2.41467754113432,9,10,1000
bhc,0.203579425811768,4.02127537181184,10,10,1000
bhc,2.15612268447876,12.275365048481,1,15,250
bhc,2.23332524299622,6.85393792799732,2,15,250
bhc,2.45196223258972,7.63778269858972,3,15,250
bhc,1.88634443283081,8.98210611883087,4,15,250
bhc,2.56153726577759,8.24131632777789,5,15,250
bhc,2.28120470046997,10.1267665024716,6,15,250
bhc,3.33132696151733,8.70245894451728,7,15,250
bhc,1.96603012084961,4.92077382484422,8,15,250
bhc,3.32138609886169,9.18689556086156,9,15,250
bhc,2.79534673690796,4.45868506790794,10,15,250
bhc,2.53155994415283,16.8243504021557,1,15,1000
bhc,1.64503598213196,15.2994586701316,2,15,1000
bhc,2.75451517105103,21.5711066190511,3,15,1000
bhc,2.78772568702698,30.3620651660272,4,15,1000
bhc,2.44945883750916,21.5959795155068,5,15,1000
bhc,2.4228527545929,20.5416465035928,6,15,1000
bhc,2.39215278625488,25.0849054132559,7,15,1000
bhc,2.46887946128845,12.0286413872891,8,15,1000
bhc,3.08770370483398,14.0262484608338,9,15,1000
bhc,2.97705793380737,12.5936738578075,10,15,1000
bhc,46.2652728557587,53.8014994997648,1,20,250
bhc,45.834641456604,51.7391535796341,2,20,250
bhc,44.93687915802,53.092083273048,3,20,250
bhc,45.9681181907654,57.7535430098069,4,20,250
bhc,39.9541466236115,47.7058766875998,5,20,250
bhc,46.1515040397644,53.8548260387615,6,20,250
bhc,45.5382859706879,52.6970441036974,7,20,250
bhc,37.9728593826294,43.7258069346426,8,20,250
bhc,45.0571203231812,49.7407712121494,9,20,250
bhc,46.7470767498016,57.9806299667689,10,20,250
bhc,44.6824634075165,69.9657105794759,1,20,1000
bhc,45.0781002044678,60.926232709433,2,20,1000
bhc,47.4501936435699,61.5774344665697,3,20,1000
bhc,41.0711870193481,75.633913028345,4,20,1000
bhc,45.6899392604828,62.9507666994468,5,20,1000
bhc,43.7821838855743,68.0767023025546,6,20,1000
bhc,34.8757634162903,64.4427945623174,7,20,1000
bhc,47.1561269760132,57.6570291739772,8,20,1000
bhc,48.2216670513153,63.641594593355,9,20,1000
bhc,45.9949972629547,70.7012581579038,10,20,1000
