method,shd,seed,p,n,true_max_cvar
CSlearn+GRASP,5,1,5,250,2
CSlearn+GRASP,4,2,5,250,2
CSlearn+GRASP,5,3,5,250,2
CSlearn+GRASP,6,4,5,250,2
CSlearn+GRASP,3,5,5,250,2
CSlearn+GRASP,4,6,5,250,2
CSlearn+GRASP,4,7,5,250,2
CSlearn+GRASP,6,8,5,250,2
CSlearn+GRASP,2,9,5,250,2
CSlearn+GRASP,3,10,5,250,2
CSlearn+GRASP,3,1,5,1000,2
CSlearn+GRASP,3,2,5,1000,2
CSlearn+GRASP,6,3,5,1000,2
CSlearn+GRASP,5,4,5,1000,2
CSlearn+GRASP,1,5,5,1000,2
CSlearn+GRASP,4,6,5,1000,2
CSlearn+GRASP,4,7,5,1000,2
CSlearn+GRASP,6,8,5,1000,2
CSlearn+GRASP,2,9,5,1000,2
CSlearn+GRASP,3,10,5,1000,2
CSlearn+GRASP,8,1,7,250,2
CSlearn+GRASP,7,2,7,250,2
CSlearn+GRASP,10,3,7,250,2
CSlearn+GRASP,11,4,7,250,2
CSlearn+GRASP,8,5,7,250,2
CSlearn+GRASP,5,6,7,250,2
CSlearn+GRASP,5,7,7,250,2
CSlearn+GRASP,11,8,7,250,2
CSlearn+GRASP,6,9,7,250,2
CSlearn+GRASP,10,10,7,250,2
CSlearn+GRASP,7,1,7,1000,2
CSlearn+GRASP,7,2,7,1000,2
CSlearn+GRASP,9,3,7,1000,2
CSlearn+GRASP,5,4,7,1000,2
CSlearn+GRASP,6,5,7,1000,2
CSlearn+GRASP,5,6,7,1000,2
CSlearn+GRASP,2,7,7,1000,2
CSlearn+GRASP,10,8,7,1000,2
CSlearn+GRASP,5,9,7,1000,2
CSlearn+GRASP,10,10,7,1000,2
CSlearn+GRASP,9,1,10,250,2
CSlearn+GRASP,15,2,10,250,2
CSlearn+GRASP,16,3,10,250,2
CSlearn+GRASP,13,4,10,250,2
CSlearn+GRASP,12,5,10,250,2
CSlearn+GRASP,11,6,10,250,2
CSlearn+GRASP,13,7,10,250,2
