method,kl_div,seed,p,n
cslearn+pc (map),0.1728853413851468,9,7,500
cslearn+pc (map),0.2022649292080194,10,7,500
cslearn+pc (mle),0.014454209324068,1,7,500
cslearn+pc (mle),0.1140536018510833,2,7,500
cslearn+pc (mle),0.0849992983846374,3,7,500
cslearn+pc (mle),0.1465803454376159,4,7,500
cslearn+pc (mle),0.1846469396521071,5,7,500
cslearn+pc (mle),0.1558452495604801,6,7,500
cslearn+pc (mle),0.2298035649841654,7,7,500
cslearn+pc (mle),0.1155705597547788,8,7,500
cslearn+pc (mle),0.2232399298346368,9,7,500
cslearn+pc (mle),0.2249143936205984,10,7,500
cslearn+pc (map),0.0158562393608175,1,7,1000
cslearn+pc (map),0.1047488638472253,2,7,1000
cslearn+pc (map),0.0439145459733741,3,7,1000
cslearn+pc (map),0.1129187975105295,4,7,1000
cslearn+pc (map),0.0262212421258034,5,7,1000
cslearn+pc (map),0.2450238164083181,6,7,1000
cslearn+pc (map),0.1656137376977105,7,7,1000
cslearn+pc (map),0.1008986868790857,8,7,1000
cslearn+pc (map),0.1305686033204094,9,7,1000
cslearn+pc (map),0.0659081190063711,10,7,1000
cslearn+pc (mle),0.0158183350818998,1,7,1000
cslearn+pc (mle),0.1099999391728593,2,7,1000
cslearn+pc (mle),0.0438608524504025,3,7,1000
cslearn+pc (mle),0.1128130523719957,4,7,1000
cslearn+pc (mle),0.0265332530295863,5,7,1000
cslearn+pc (mle),0.2452402241145465,6,7,1000
cslearn+pc (mle),0.1655995089598359,7,7,1000
cslearn+pc (mle),0.1091355265710072,8,7,1000
cslearn+pc (mle),0.1311148255873629,9,7,1000
cslearn+pc (mle),0.0660640342771255,10,7,1000
cslearn+pc (map),0.0019775785778203,1,7,10000
cslearn+pc (map),0.077409032171784,2,7,10000
cslearn+pc (map),0.1149068269424242,3,7,10000
cslearn+pc (map),0.0659708084434147,4,7,10000
cslearn+pc (map),0.012307288846539,5,7,10000
cslearn+pc (map),0.0028064297161024,6,7,10000
cslearn+pc (map),0.1874109153465369,7,7,10000
cslearn+pc (map),0.0618608604407753,8,7,10000
cslearn+pc (map),0.0144290623100218,9,7,10000
cslearn+pc (map),0.1388736993874851,10,7,10000
cslearn+pc (mle),0.0019656643099333,1,7,10000
cslearn+pc (mle),0.0774025045107968,2,7,10000
cslearn+pc (mle),0.1149067486440522,3,7,10000
cslearn+pc (mle),0.0659639321356772,4,7,10000
cslearn+pc (mle),0.0123176846140049,5,7,10000
cslearn+pc (mle),0.0028082503929059,6,7,10000
cslearn+pc (mle),0.1874103060332093,7,7,10000
cslearn+pc (mle),0.0618692937506562,8,7,10000
cslearn+pc (mle),0.0144329235900048,9,7,10000
cslearn+pc (mle),0.1388728532607815,10,7,10000
cslearn+pc (map),0.2954390264121798,1,10,250
cslearn+pc (map),0.2787854475445583,2,10,250
cslearn+pc (map),0.2827445295219655,3,10,250
cslearn+pc (map),0.2996362231227776,4,10,250
cslearn+pc (map),0.2552245877271307,5,10,250
cslearn+pc (map),0.2341864571874475,6,10,250
cslearn+pc (map),0.4884267081793204,7,10,250
cslearn+pc (map),0.4298029767754793,8,10,250
cslearn+pc (map),0.3361059375664353,9,10,250
cslearn+pc (map),0.3356318935624933,10,10,250
cslearn+pc (mle),0.2955493535125537,1,10,250
cslearn+pc (mle),0.2827399198491462,2,10,250
cslearn+pc (mle),0.2836639165651801,3,10,250
cslearn+pc (mle),0.2998052579718976,4,10,250
cslearn+pc (mle),0.267415621352103,5,10,250
cslearn+pc (mle),0.2345892000903775,6,10,250
cslearn+pc (mle),0.5051436705221364,7,10,250
cslearn+pc (mle),0.460664967362344,8,10,250
cslearn+pc (mle),0.3888087255724187,9,10,250
cslearn+pc (mle),0.3369886244172517,10,10,250
cslearn+pc (map),0.2771903698160187,1,10,500
cslearn+pc (map),0.159706298434259,2,10,500
cslearn+pc (map),0.2689089220751238,3,10,500
cslearn+pc (map),0.2188687026640283,4,10,500
cslearn+pc (map),0.0893698558588842,5,10,500
cslearn+pc (map),0.1390020846874334,6,10,500
cslearn+pc (map),0.5320453620826308,7,10,500
cslearn+pc (map),0.4763973405977658,8,10,500
cslearn+pc (map),0.3430383827940688,9,10,500
cslearn+pc (map),0.4575753300190459,10,10,500
cslearn+pc (mle),0.2781590750635929,1,10,500
cslearn+pc (mle),0.1743948803407201,2,10,500
cslearn+pc (mle),0.2694913390954764,3,10,500
cslearn+pc (mle),0.2188822033999761,4,10,500
cslearn+pc (mle),0.0994099267249235,5,10,500
cslearn+pc (mle),0.1454283113802569,6,10,500
cslearn+pc (mle),0.5320098362097547,7,10,500
cslearn+pc (mle),0.4766477545227764,8,10,500
cslearn+pc (mle),0.3434043647349233,9,10,500
cslearn+pc (mle),0.4579724343682931,10,10,500
cslearn+pc (map),0.1548459388274782,1,10,1000
cslearn+pc (map),0.1255626267646811,2,10,1000
cslearn+pc (map),0.1450287493158407,3,10,1000
cslearn+pc (map),0.1967213958547304,4,10,1000
cslearn+pc (map),0.0642770642077955,5,10,1000
cslearn+pc (map),0.0633674860170883,6,10,1000
cslearn+pc (map),0.4668889178501754,7,10,1000
cslearn+pc (map),0.1412370723174096,8,10,1000
cslearn+pc (map),0.3034606821859501,9,10,1000
cslearn+pc (map),0.4608385753758655,10,10,1000
cslearn+pc (mle),0.1556230678125251,1,10,1000
cslearn+pc (mle),0.1256836537002944,2,10,1000
cslearn+pc (mle),0.145159759205415,3,10,1000
cslearn+pc (mle),0.1966756315539305,4,10,1000
cslearn+pc (mle),0.0728198941014382,5,10,1000
cslearn+pc (mle),0.0633838704146873,6,10,1000
cslearn+pc (mle),0.4669398734239394,7,10,1000
cslearn+pc (mle),0.1411950353046356,8,10,1000
cslearn+pc (mle),0.303485600757891,9,10,1000
cslearn+pc (mle),0.4608588744396397,10,10,1000
cslearn+pc (map),0.2325478748585577,1,10,10000
cslearn+pc (map),0.0699726686992836,2,10,10000
cslearn+pc (map),0.1846134996705519,3,10,10000
cslearn+pc (map),0.0768038548324577,4,10,10000
cslearn+pc (map),0.1636422212350253,5,10,10000
cslearn+pc (map),0.1002626268820606,6,10,10000
cslearn+pc (map),0.1472921428139469,7,10,10000
cslearn+pc (map),0.1222445611524364,8,10,10000
cslearn+pc (map),0.0288268180967184,9,10,10000
cslearn+pc (map),0.173583145842122,10,10,10000
cslearn+pc (mle),0.2325422869916127,1,10,10000
cslearn+pc (mle),0.0699758856238593,2,10,10000
cslearn+pc (mle),0.1846159793606738,3,10,10000
cslearn+pc (mle),0.0768016476148976,4,10,10000
