method,shd,seed,p,n
PC+DAG,39,8,15,250
PC+DAG,39,9,15,250
PC+DAG,42,10,15,250
PC+DAG,40,1,15,1000
PC+DAG,40,2,15,1000
PC+DAG,39,3,15,1000
PC+DAG,47,4,15,1000
PC+DAG,44,5,15,1000
PC+DAG,42,6,15,1000
PC+DAG,45,7,15,1000
PC+DAG,47,8,15,1000
PC+DAG,40,9,15,1000
PC+DAG,41,10,15,1000
PC+DAG,57,1,20,250
PC+DAG,53,2,20,250
PC+DAG,58,3,20,250
PC+DAG,62,4,20,250
PC+DAG,51,5,20,250
PC+DAG,62,6,20,250
PC+DAG,60,7,20,250
PC+DAG,60,8,20,250
PC+DAG,55,9,20,250
PC+DAG,59,10,20,250
PC+DAG,65,1,20,1000
PC+DAG,56,2,20,1000
PC+DAG,62,3,20,1000
PC+DAG,62,4,20,1000
PC+DAG,56,5,20,1000
PC+DAG,67,6,20,1000
PC+DAG,67,7,20,1000
PC+DAG,72,8,20,1000
PC+DAG,57,9,20,1000
PC+DAG,61,10,20,1000
