method,kl_div,seed,p,n,true_max_cvar
cslearn+grasp (mle),0.2503527820294651,9,7,250,3
cslearn+grasp (mle),0.2270367359130599,10,7,250,3
cslearn+grasp (mle),0.0973862770469577,1,7,1000,3
cslearn+grasp (mle),0.0126527748362361,2,7,1000,3
cslearn+grasp (mle),0.0402938124898381,3,7,1000,3
cslearn+grasp (mle),0.0298966995830642,4,7,1000,3
cslearn+grasp (mle),0.0928103311630387,5,7,1000,3
cslearn+grasp (mle),0.0432485783079006,6,7,1000,3
cslearn+grasp (mle),0.1116350362247476,7,7,1000,3
cslearn+grasp (mle),0.0433958438919495,8,7,1000,3
cslearn+grasp (mle),0.0471284788143713,9,7,1000,3
cslearn+grasp (mle),0.0715613306049267,10,7,1000,3
cslearn+grasp (mle),0.3858731656004488,1,10,250,3
cslearn+grasp (mle),0.300811039500065,2,10,250,3
cslearn+grasp (mle),0.2770156272782583,3,10,250,3
cslearn+grasp (mle),0.3299000629720042,4,10,250,3
cslearn+grasp (mle),0.3526673488686023,5,10,250,3
cslearn+grasp (mle),0.5180068004475102,6,10,250,3
cslearn+grasp (mle),0.3702408851476146,7,10,250,3
cslearn+grasp (mle),0.3760618870774874,8,10,250,3
cslearn+grasp (mle),0.3726647889034445,9,10,250,3
cslearn+grasp (mle),0.2599255773621747,10,10,250,3
cslearn+grasp (mle),0.1737506715948161,1,10,1000,3
cslearn+grasp (mle),0.138263959014542,2,10,1000,3
cslearn+grasp (mle),0.1206141222914964,3,10,1000,3
cslearn+grasp (mle),0.1215619905434103,4,10,1000,3
cslearn+grasp (mle),0.1058537450652968,5,10,1000,3
cslearn+grasp (mle),0.1122665415623542,6,10,1000,3
cslearn+grasp (mle),0.2328849125731754,7,10,1000,3
cslearn+grasp (mle),0.1627961446459574,8,10,1000,3
cslearn+grasp (mle),0.1253315520914716,9,10,1000,3
cslearn+grasp (mle),0.1097000887647004,10,10,1000,3
cslearn+grasp (mle),0.7583704086721668,1,15,250,3
cslearn+grasp (mle),0.7449089734096495,2,15,250,3
cslearn+grasp (mle),0.8241399632766988,3,15,250,3
cslearn+grasp (mle),0.8300446999891228,4,15,250,3
cslearn+grasp (mle),0.8193749459611829,5,15,250,3
cslearn+grasp (mle),0.604436196867006,6,15,250,3
cslearn+grasp (mle),0.9762045399793512,7,15,250,3
cslearn+grasp (mle),0.4229479073243433,8,15,250,3
cslearn+grasp (mle),0.7822223198591189,9,15,250,3
cslearn+grasp (mle),0.7248505711932318,10,15,250,3
cslearn+grasp (mle),0.5693944716026109,1,15,1000,3
cslearn+grasp (mle),0.3749110038129496,2,15,1000,3
cslearn+grasp (mle),0.4691183878856751,3,15,1000,3
cslearn+grasp (mle),0.3335631228951501,4,15,1000,3
cslearn+grasp (mle),0.3488687192965432,5,15,1000,3
cslearn+grasp (mle),0.2920435179446732,6,15,1000,3
cslearn+grasp (mle),0.572782715927207,7,15,1000,3
cslearn+grasp (mle),0.2202467662438776,8,15,1000,3
cslearn+grasp (mle),0.2688186395845595,9,15,1000,3
cslearn+grasp (mle),0.3512282577049795,10,15,1000,3
cslearn+grasp (mle),0.009908327710936,1,5,250,1
cslearn+grasp (mle),0.0065040147670768,2,5,250,1
cslearn+grasp (mle),0.0176902968507205,3,5,250,1
cslearn+grasp (mle),0.0337021873746723,4,5,250,1
cslearn+grasp (mle),0.0069046764306764,5,5,250,1
cslearn+grasp (mle),0.0519804090305417,6,5,250,1
cslearn+grasp (mle),0.0440310826660593,7,5,250,1
cslearn+grasp (mle),0.0142041032407138,8,5,250,1
cslearn+grasp (mle),0.02915469974349,9,5,250,1
cslearn+grasp (mle),0.0578141707579868,10,5,250,1
cslearn+grasp (mle),0.0026225026089533,1,5,1000,1
cslearn+grasp (mle),0.0068511865988658,2,5,1000,1
cslearn+grasp (mle),0.0076057480078478,3,5,1000,1
cslearn+grasp (mle),0.0184190854837304,4,5,1000,1
cslearn+grasp (mle),0.001622396968154,5,5,1000,1
cslearn+grasp (mle),0.0247759775388328,6,5,1000,1
cslearn+grasp (mle),0.0024179102521237,7,5,1000,1
cslearn+grasp (mle),0.003023709325632,8,5,1000,1
cslearn+grasp (mle),0.0178511886818563,9,5,1000,1
cslearn+grasp (mle),0.0087076176596224,10,5,1000,1
cslearn+grasp (mle),0.0323772654763867,1,7,250,1
cslearn+grasp (mle),0.0262701044394905,2,7,250,1
cslearn+grasp (mle),0.0474589066066696,3,7,250,1
cslearn+grasp (mle),0.041910310105946,4,7,250,1
cslearn+grasp (mle),0.0688786756652218,5,7,250,1
cslearn+grasp (mle),0.0473063560844109,6,7,250,1
cslearn+grasp (mle),0.107436195637398,7,7,250,1
cslearn+grasp (mle),0.0127855465472813,8,7,250,1
cslearn+grasp (mle),0.0357296662910211,9,7,250,1
cslearn+grasp (mle),0.035098927558226,10,7,250,1
cslearn+grasp (mle),0.0070752128133273,1,7,1000,1
cslearn+grasp (mle),0.0123236122527954,2,7,1000,1
cslearn+grasp (mle),0.0191898891049407,3,7,1000,1
cslearn+grasp (mle),0.0092496471366346,4,7,1000,1
cslearn+grasp (mle),0.0054995786623101,5,7,1000,1
cslearn+grasp (mle),0.0246643387472796,6,7,1000,1
cslearn+grasp (mle),0.0083130610744919,7,7,1000,1
cslearn+grasp (mle),0.0055764597673444,8,7,1000,1
cslearn+grasp (mle),0.0115124872992069,9,7,1000,1
cslearn+grasp (mle),0.0183177451355977,10,7,1000,1
cslearn+grasp (mle),0.0473832941524097,1,10,250,1
cslearn+grasp (mle),0.0342766123515523,2,10,250,1
cslearn+grasp (mle),0.0545257191371495,3,10,250,1
cslearn+grasp (mle),0.0942394230404169,4,10,250,1
cslearn+grasp (mle),0.082096387007673,5,10,250,1
cslearn+grasp (mle),0.0924666490314701,6,10,250,1
cslearn+grasp (mle),0.1087482468644885,7,10,250,1
cslearn+grasp (mle),0.0644986810770623,8,10,250,1
cslearn+grasp (mle),0.0838546134325212,9,10,250,1
cslearn+grasp (mle),0.0766693924215866,10,10,250,1
cslearn+grasp (mle),0.0233963534235591,1,10,1000,1
cslearn+grasp (mle),0.0180907210460966,2,10,1000,1
cslearn+grasp (mle),0.011520823685775,3,10,1000,1
cslearn+grasp (mle),0.0298885051847444,4,10,1000,1
cslearn+grasp (mle),0.0055777790111374,5,10,1000,1
cslearn+grasp (mle),0.0340247048232633,6,10,1000,1
cslearn+grasp (mle),0.0216270057422246,7,10,1000,1
cslearn+grasp (mle),0.0173896032902543,8,10,1000,1
cslearn+grasp (mle),0.0167493505058996,9,10,1000,1
cslearn+grasp (mle),0.0192471793015916,10,10,1000,1
cslearn+grasp (mle),0.0668978772913927,1,15,250,1
cslearn+grasp (mle),0.0788319777953942,2,15,250,1
cslearn+grasp (mle),0.1321830478557996,3,15,250,1
cslearn+grasp (mle),0.1521814081452461,4,15,250,1
cslearn+grasp (mle),0.1301713149651436,5,15,250,1
cslearn+grasp (mle),0.080975369727452,6,15,250,1
cslearn+grasp (mle),0.1105921943686597,7,15,250,1
cslearn+grasp (mle),0.120049709995898,8,15,250,1
cslearn+grasp (mle),0.076916706679561,9,15,250,1
cslearn+grasp (mle),0.139784175179847,10,15,250,1
cslearn+grasp (mle),0.0380353148837056,1,15,1000,1
cslearn+grasp (mle),0.0240414879011556,2,15,1000,1
cslearn+grasp (mle),0.0341365438495018,3,15,1000,1
cslearn+grasp (mle),0.0646480069181352,4,15,1000,1
cslearn+grasp (mle),0.0262236917500888,5,15,1000,1
cslearn+grasp (mle),0.0262030018663252,6,15,1000,1
cslearn+grasp (mle),0.0432306212763744,7,15,1000,1
cslearn+grasp (mle),0.044096527331538,8,15,1000,1
cslearn+grasp (mle),0.0456123095452826,9,15,1000,1
cslearn+grasp (mle),0.0467160496014091,10,15,1000,1
