method,kl_div,seed,p,n
cslearn+grasp (mle),0.0451397697787269,5,7,500
cslearn+grasp (mle),0.1339954768233738,6,7,500
cslearn+grasp (mle),0.1159904014736828,7,7,500
cslearn+grasp (mle),0.0385758129128127,8,7,500
cslearn+grasp (mle),0.1923035330782842,9,7,500
cslearn+grasp (mle),0.1337892190818625,10,7,500
cslearn+grasp (map),0.0123844396554602,1,7,500
cslearn+grasp (map),0.0789235019699684,2,7,500
cslearn+grasp (map),0.1163979451794287,3,7,500
cslearn+grasp (map),0.0701662533223501,4,7,500
cslearn+grasp (map),0.0303287411690205,5,7,500
cslearn+grasp (map),0.1068442561913232,6,7,500
cslearn+grasp (map),0.1159504706076886,7,7,500
cslearn+grasp (map),0.0018523642269769,8,7,500
cslearn+grasp (map),0.1421804292951305,9,7,500
cslearn+grasp (map),0.1109993169308358,10,7,500
cslearn+grasp (mle),0.0158183350819,1,7,1000
cslearn+grasp (mle),0.0273278438519024,2,7,1000
cslearn+grasp (mle),0.0687765866353879,3,7,1000
cslearn+grasp (mle),0.0268719787214629,4,7,1000
cslearn+grasp (mle),0.0193296346470171,5,7,1000
cslearn+grasp (mle),0.0308784561150299,6,7,1000
cslearn+grasp (mle),0.0358623410107182,7,7,1000
cslearn+grasp (mle),0.0532980553900929,8,7,1000
cslearn+grasp (mle),0.0738329046539793,9,7,1000
cslearn+grasp (mle),0.0505802883651141,10,7,1000
cslearn+grasp (map),0.0158562393608173,1,7,1000
cslearn+grasp (map),0.0274341456873389,2,7,1000
cslearn+grasp (map),0.0688465585628901,3,7,1000
cslearn+grasp (map),0.0147944197134445,4,7,1000
cslearn+grasp (map),0.0192116249430908,5,7,1000
cslearn+grasp (map),0.0307156411474266,6,7,1000
cslearn+grasp (map),0.0357926956818002,7,7,1000
cslearn+grasp (map),0.0532991464528612,8,7,1000
cslearn+grasp (map),0.0732279200026887,9,7,1000
cslearn+grasp (map),0.0504434945640292,10,7,1000
cslearn+grasp (mle),0.0019656643099333,1,7,10000
cslearn+grasp (mle),0.0034174207071084,2,7,10000
cslearn+grasp (mle),0.025226796247219,3,7,10000
cslearn+grasp (mle),0.012880795746133,4,7,10000
cslearn+grasp (mle),0.0044201429675162,5,7,10000
cslearn+grasp (mle),0.0028740974984006,6,7,10000
cslearn+grasp (mle),0.043765883668264,7,7,10000
cslearn+grasp (mle),0.002517200338857,8,7,10000
cslearn+grasp (mle),0.0016865304258092,9,7,10000
cslearn+grasp (mle),0.0037713638430547,10,7,10000
cslearn+grasp (map),0.0019775785778203,1,7,10000
cslearn+grasp (map),0.0034257206312488,2,7,10000
cslearn+grasp (map),0.0252278350782062,3,7,10000
cslearn+grasp (map),0.0120821577505968,4,7,10000
cslearn+grasp (map),0.0044114651996308,5,7,10000
cslearn+grasp (map),0.0028725756300603,6,7,10000
cslearn+grasp (map),0.0437666943579607,7,7,10000
cslearn+grasp (map),0.0025079120880313,8,7,10000
cslearn+grasp (map),0.0016817142808294,9,7,10000
cslearn+grasp (map),0.0037743552223073,10,7,10000
cslearn+grasp (mle),0.1887789734671524,1,10,250
cslearn+grasp (mle),0.2477137434304433,2,10,250
cslearn+grasp (mle),0.3407460333013624,3,10,250
cslearn+grasp (mle),0.3615511443938203,4,10,250
cslearn+grasp (mle),0.1870363906069829,5,10,250
cslearn+grasp (mle),0.266559864838898,6,10,250
cslearn+grasp (mle),0.4757673044910563,7,10,250
cslearn+grasp (mle),0.235567516925317,8,10,250
cslearn+grasp (mle),0.2709086797521266,9,10,250
cslearn+grasp (mle),0.2751883295297734,10,10,250
cslearn+grasp (map),0.1883451935590801,1,10,250
cslearn+grasp (map),0.1988764405504653,2,10,250
cslearn+grasp (map),0.3402175484684411,3,10,250
cslearn+grasp (map),0.3613394398071718,4,10,250
cslearn+grasp (map),0.1253013780546541,5,10,250
cslearn+grasp (map),0.2654116196675071,6,10,250
cslearn+grasp (map),0.4582858534694283,7,10,250
cslearn+grasp (map),0.2344872844897275,8,10,250
cslearn+grasp (map),0.219385050681364,9,10,250
cslearn+grasp (map),0.2722953314044224,10,10,250
cslearn+grasp (mle),0.1757831862536648,1,10,500
cslearn+grasp (mle),0.1528445341290113,2,10,500
cslearn+grasp (mle),0.1547681234055357,3,10,500
cslearn+grasp (mle),0.1899688422140343,4,10,500
cslearn+grasp (mle),0.0759354465127626,5,10,500
cslearn+grasp (mle),0.0643435675094021,6,10,500
cslearn+grasp (mle),0.1565786950334816,7,10,500
cslearn+grasp (mle),0.0982232404680807,8,10,500
cslearn+grasp (mle),0.2350624142132735,9,10,500
cslearn+grasp (mle),0.1492664618046541,10,10,500
cslearn+grasp (map),0.175249481239934,1,10,500
cslearn+grasp (map),0.1517330815735291,2,10,500
cslearn+grasp (map),0.154673553774355,3,10,500
cslearn+grasp (map),0.1894168404884247,4,10,500
cslearn+grasp (map),0.0678498571816318,5,10,500
cslearn+grasp (map),0.0641636899847078,6,10,500
cslearn+grasp (map),0.1521379892156406,7,10,500
cslearn+grasp (map),0.0978926082517319,8,10,500
cslearn+grasp (map),0.2344771778745266,9,10,500
cslearn+grasp (map),0.1484694702818368,10,10,500
cslearn+grasp (mle),0.0425307090051479,1,10,1000
cslearn+grasp (mle),0.0762710398720391,2,10,1000
cslearn+grasp (mle),0.0711589314716418,3,10,1000
cslearn+grasp (mle),0.0839811707499072,4,10,1000
cslearn+grasp (mle),0.0455258952369187,5,10,1000
cslearn+grasp (mle),0.0547226904171668,6,10,1000
cslearn+grasp (mle),0.0652302163209553,7,10,1000
cslearn+grasp (mle),0.068130771549338,8,10,1000
cslearn+grasp (mle),0.0610744228787893,9,10,1000
cslearn+grasp (mle),0.0800923209933997,10,10,1000
cslearn+grasp (map),0.0392647727983477,1,10,1000
cslearn+grasp (map),0.0761429061230927,2,10,1000
cslearn+grasp (map),0.0710803685327664,3,10,1000
cslearn+grasp (map),0.0833395728826133,4,10,1000
cslearn+grasp (map),0.0401166799945723,5,10,1000
cslearn+grasp (map),0.0546924707920502,6,10,1000
cslearn+grasp (map),0.0601538600508597,7,10,1000
cslearn+grasp (map),0.0680990189749023,8,10,1000
cslearn+grasp (map),0.0555743566475878,9,10,1000
cslearn+grasp (map),0.08011725155484,10,10,1000
cslearn+grasp (mle),0.003871340234604,1,10,10000
cslearn+grasp (mle),0.0026746323908626,2,10,10000
cslearn+grasp (mle),0.0197768688537326,3,10,10000
cslearn+grasp (mle),0.0023792139522491,4,10,10000
cslearn+grasp (mle),0.0086354591085096,5,10,10000
cslearn+grasp (mle),0.0076547098179366,6,10,10000
cslearn+grasp (mle),0.0115958423278794,7,10,10000
cslearn+grasp (mle),0.0067935678471495,8,10,10000
cslearn+grasp (mle),0.0159770383910027,9,10,10000
cslearn+grasp (mle),0.0794947511908471,10,10,10000
cslearn+grasp (map),0.0038765262521138,1,10,10000
cslearn+grasp (map),0.0026774500745161,2,10,10000
cslearn+grasp (map),0.0197734784724027,3,10,10000
cslearn+grasp (map),0.0023774193121906,4,10,10000
cslearn+grasp (map),0.008632422380859,5,10,10000
cslearn+grasp (map),0.007655110143224,6,10,10000
cslearn+grasp (map),0.0115936848447345,7,10,10000
cslearn+grasp (map),0.006797461492872,8,10,10000
cslearn+grasp (map),0.0159796845006057,9,10,10000
cslearn+grasp (map),0.0794935497941511,10,10,10000
cslearn+grasp (mle),0.3600450243425135,1,15,250
cslearn+grasp (mle),0.4827858323143265,2,15,250
cslearn+grasp (mle),0.3550870425130792,3,15,250
cslearn+grasp (mle),0.4885934476830235,4,15,250
cslearn+grasp (mle),0.3028017654367223,5,15,250
cslearn+grasp (mle),0.4588674419280414,6,15,250
cslearn+grasp (mle),0.4188303912019061,7,15,250
cslearn+grasp (mle),0.3377214675694405,8,15,250
cslearn+grasp (mle),0.4079097114628938,9,15,250
cslearn+grasp (mle),0.3718906446590415,10,15,250
cslearn+grasp (map),0.3351036267605893,1,15,250
cslearn+grasp (map),0.4811761605444485,2,15,250
cslearn+grasp (map),0.3529613522382319,3,15,250
cslearn+grasp (map),0.4887422957781798,4,15,250
cslearn+grasp (map),0.2550026305426405,5,15,250
cslearn+grasp (map),0.457267530578953,6,15,250
cslearn+grasp (map),0.3779365068223941,7,15,250
cslearn+grasp (map),0.3402190508561054,8,15,250
cslearn+grasp (map),0.3569004266670557,9,15,250
cslearn+grasp (map),0.36486548200122,10,15,250
cslearn+grasp (mle),0.129912361750894,1,15,500
cslearn+grasp (mle),0.2284155315246701,2,15,500
cslearn+grasp (mle),0.1980487536036991,3,15,500
cslearn+grasp (mle),0.2673045449304783,4,15,500
cslearn+grasp (mle),0.1569775561799145,5,15,500
cslearn+grasp (mle),0.2095346322584832,6,15,500
cslearn+grasp (mle),0.2778474940514603,7,15,500
cslearn+grasp (mle),0.2668706933041215,8,15,500
cslearn+grasp (mle),0.2314151775871392,9,15,500
cslearn+grasp (mle),0.2805644148238406,10,15,500
cslearn+grasp (map),0.1266886474112657,1,15,500
cslearn+grasp (map),0.2265210435816708,2,15,500
cslearn+grasp (map),0.1975419410550752,3,15,500
cslearn+grasp (map),0.2673991640824595,4,15,500
cslearn+grasp (map),0.1484245992476964,5,15,500
cslearn+grasp (map),0.2089743708787827,6,15,500
cslearn+grasp (map),0.2652157001525358,7,15,500
cslearn+grasp (map),0.2626223855263798,8,15,500
cslearn+grasp (map),0.2270777677718549,9,15,500
cslearn+grasp (map),0.2808841419251874,10,15,500
cslearn+grasp (mle),0.052377005765985,1,15,1000
cslearn+grasp (mle),0.1493113023455538,2,15,1000
cslearn+grasp (mle),0.1174406502140827,3,15,1000
